ítem_id;location;timestamp;price;promapplie
SM-A235MLBEARO;7260;20220901;62049.00;                0
SM-G781BZBLARO;7790;20220901;141999.00;                0
SM-A035MZKAARO;7160;20220901;35999.00;                0
SM-G781BZBLARO;7750;20220901;127999.00;                0
SM-A325MZKMARO;7640;20220901;64599.00;                0
SM-A035MZKEARO;7260;20220901;38699.00;                0
SM-A235MLBEARO;7260;20220901;62049.00;                0
SM-G781BLVLARO;7500;20220901;127999.00;                0
SM-A336MZWFARO;7340;20220901;99999.00;                0
SM-A325MZKMARO;7340;20220901;64599.00;                0
SM-G781BZRLARO;7300;20220901;141999.00;                0
SM-G781BZRLARO;7830;20220901;141999.00;                0
SM-S908EZKMARO;7550;20220901;286998.86;                1
SM-S901EZKLARO;7550;20220901;215999.00;                0
SM-G781BZRLARO;7550;20220901;141999.00;                0
SM-F721BZAJARO;7550;20220901;174999.08;                1
SM-F721BZAJARO;7550;20220901;-219999.00;                0
SM-S908EZKMARO;7550;20220901;-331999.00;                0
SM-F721BLVKARO;7480;20220901;219999.00;                0
SM-F936BZELARO;7480;20220901;309999.00;                1
SM-F721BLVKARO;7480;20220901;219999.00;                0
SM-G781BLVLARO;7480;20220901;141999.00;                0
SM-A032MZKAARO;7130;20220901;31499.00;                0
SM-F721BLBKARO;7130;20220901;175999.20;                1
SM-F721BLBKARO;7130;20220901;130999.28;                1
SM-A325MZKMARO;7130;20220901;75999.00;                0
SM-F721BLVKARO;7130;20220901;174999.08;                1
SM-F721BLBKARO;7130;20220901;169998.94;                1
SM-F721BLBKARO;7130;20220901;130999.28;                1
SM-F721BZAJARO;7130;20220901;174999.08;                1
SM-F721BZAJARO;7130;20220901;-219999.00;                0
SM-A235MZKEARO;7790;20220901;72999.00;                0
SM-A325MZKMARO;7790;20220901;75999.00;                0
SM-A135MZKKARO;7790;20220901;60999.00;                0
SM-A325MZKMARO;7790;20220901;75999.00;                0
SM-A135MZKKARO;7790;20220901;60999.00;                0
SM-F936BZELARO;7790;20220901;233999.20;                1
SM-A035MZKFARO;7990;20220901;47999.01;                0
6159A-FALCAR11;7990;20220901;43999.00;                0
SM-A235MZKEARO;7990;20220901;72999.00;                0
SM-A536EZWAARO;7990;20220901;122999.00;                0
SM-A035MZKAARO;7990;20220901;36999.00;                0
SM-A135MZKKARO;7990;20220901;60999.00;                0
SM-A035MZKAARO;7990;20220901;33299.10;                1
SM-A032MCKAARO;7780;20220901;31499.00;                0
SM-A135MLBEARO;7780;20220901;55999.00;                0
SM-A032MZBAARO;7780;20220901;31499.00;                0
SM-F721BLVKARO;7780;20220901;219999.00;                0
SM-A536EZOAARO;7780;20220901;122999.00;                0
SM-A135MZKKARO;7780;20220901;60999.00;                0
SM-F936BZELARO;7780;20220901;309999.00;                1
SM-A035MZKFARO;7780;20220901;47999.01;                0
SM-A528BZKMARO;7780;20220901;122999.00;                0
SM-A325MZBMARO;7410;20220901;75999.00;                0
SM-A325MZBMARO;7260;20220901;75999.00;                0
SM-F721BLVKARO;7260;20220901;174999.08;                1
SM-F936BZELARO;7260;20220901;309999.00;                1
SM-F936BZKLARO;7260;20220901;233999.20;                1
SM-G781BZRLARO;7260;20220901;141999.00;                0
SM-F721BLBKARO;7260;20220901;125999.14;                1
SM-F721BLVKARO;7260;20220901;219999.00;                0
SM-F926BZSAARO;7260;20220901;379999.00;                0
SM-F926BZKAARO;7260;20220901;379999.00;                0
SM-F936BZELARO;7260;20220901;379999.00;                0
SM-F936BZAMARO;7260;20220901;409999.00;                0
SM-F721BLBKARO;7260;20220901;175999.20;                1
SM-G781BZRLARO;7260;20220901;116999.08;                1
